street,lat1,lng1,lat2,lng2,distance
South St,40.70165026224922,-74.01178838740483,40.701473826281344,-74.01253431753614,0.06589108716396494
South St,40.7017938364968,-74.01118138612202,40.70165026224922,-74.01178838740483,0.05361878893026842
South St,40.70203906808591,-74.0101445970812,40.7017938364968,-74.01118138612202,0.09158335567425382
Broadway,40.701473826281344,-74.01253431753614,40.70176791157687,-74.01261930283432,0.033486871225014314
Broadway,40.70176791157687,-74.01261930283432,40.702206779169536,-74.01274612682312,0.049972899211659615
Front St,40.70235243753507,-74.01214105990863,40.702206779169536,-74.01274612682312,0.05353239313081124
Moore St,40.70165026224922,-74.01178838740483,40.70235243753507,-74.01214105990863,0.08357308345619359
Broadway,40.702206779169536,-74.01274612682312,40.70241001186689,-74.01280485653905,0.023141651828926763
South St,40.702424404806145,-74.00922911552074,40.702386989340916,-74.00928633867076,0.006372073051924516
South St,40.702386989340916,-74.00928633867076,40.70228387696916,-74.0094871372772,0.02045093350299849
South St,40.70228387696916,-74.0094871372772,40.702191618558516,-74.00969336206728,0.020191837254506573
South St,40.702191618558516,-74.00969336206728,40.702121067144816,-74.0098724527524,0.017018929311321165
South St,40.702121067144816,-74.0098724527524,40.70205594364058,-74.01007325065865,0.018416561905702115
South St,40.70205594364058,-74.01007325065865,40.70203906808591,-74.0101445970812,0.0063022780968880225
Front St,40.70253568751896,-74.01137984297748,40.70235243753507,-74.01214105990863,0.06734743141309708
Broad St,40.70253568751896,-74.01137984297748,40.7017938364968,-74.01118138612202,0.0841958234921249
Broadway,40.70241001186689,-74.01280485653905,40.70265911421673,-74.01287684328783,0.028364753115198427
South St,40.702771756752995,-74.00868211488817,40.70257150682016,-74.00900413616503,0.03512069290226119
South St,40.70257150682016,-74.00900413616503,40.702424404806145,-74.00922911552074,0.02505242911614865
Front St,40.70277970309774,-74.01036620419175,40.70253568751896,-74.01137984297748,0.08967976149277213
Coenties Slip,40.70203906808591,-74.0101445970812,40.70277970309774,-74.01036620419175,0.08447353718315555
Water St,40.70279430315488,-74.01236298863328,40.70265911421673,-74.01287684328783,0.04586515704569843
Moore St,40.70235243753507,-74.01214105990863,40.70279430315488,-74.01236298863328,0.052590860484094816
Coenties Slip,40.70288861607707,-74.00974092429632,40.702424404806145,-74.00922911552074,0.06729537883360326
Water St,40.70301894511317,-74.0115091220318,40.70279430315488,-74.01236298863328,0.07621344069096095
Broad St,40.70301894511317,-74.0115091220318,40.70253568751896,-74.01137984297748,0.05484693742419501
Broadway,40.70265911421673,-74.01287684328783,40.703127836066066,-74.01301229899639,0.05337238532186816
State St,40.70241001186689,-74.01280485653905,40.702378123319775,-74.01317651680503,0.031540005010396215
State St,40.702378123319775,-74.01317651680503,40.70236088655631,-74.01363329267602,0.03856492684318853
State St,40.70236088655631,-74.01363329267602,40.7024349070091,-74.01384301698839,0.01950742766848236
State St,40.7024349070091,-74.01384301698839,40.702570611545255,-74.01402806836506,0.0217102265861108
State St,40.702570611545255,-74.01402806836506,40.702712483589075,-74.01418227764253,0.020447799916498942
State St,40.702712483589075,-74.01418227764253,40.702866693436775,-74.0142994764329,0.0197960261584293
State St,40.702866693436775,-74.0142994764329,40.70304557589809,-74.01439817119494,0.02156741941747702
State St,40.70304557589809,-74.01439817119494,40.703174524774376,-74.01443333870824,0.014646309469518306
Pearl St,40.703174524774376,-74.01443333870824,40.70313377035222,-74.0139138129391,0.0440419667069721
Pearl St,40.70313377035222,-74.0139138129391,40.703108904975956,-74.01350167648108,0.03486254920807378
Pearl St,40.703108904975956,-74.01350167648108,40.70311863458919,-74.01312376498797,0.03188508300058886
Pearl St,40.70311863458919,-74.01312376498797,40.703127836066066,-74.01301229899639,0.009454728571511688
South St,40.703204894799704,-74.0079855839954,40.702771756752995,-74.00868211488817,0.07596558876947103
Pearl St,40.703127836066066,-74.01301229899639,40.70313862268479,-74.01288163468423,0.01108316397098668
Pearl St,40.70313862268479,-74.01288163468423,40.70321355951455,-74.0125735625192,0.027282082094215218
Moore St,40.70279430315488,-74.01236298863328,40.70321355951455,-74.0125735625192,0.04989988726611988
Front St,40.70324882695731,-74.0091949714925,40.70288861607707,-74.00974092429632,0.06103000747844735
Cuylers Aly,40.70324882695731,-74.0091949714925,40.70319541359852,-74.00914355680719,0.007354824860876807
Cuylers Aly,40.70319541359852,-74.00914355680719,40.702771756752995,-74.00868211488817,0.06111152290338365
Water St,40.703280231759344,-74.01051596986382,40.70301894511317,-74.0115091220318,0.08864535509803938
Coenties Slip,40.70277970309774,-74.01036620419175,40.703280231759344,-74.01051596986382,0.05708807309690706
South St,40.70333898314393,-74.00776995627746,40.703204894799704,-74.0079855839954,0.023516907102590537
Water St,40.70334873532212,-74.01024822655516,40.703280231759344,-74.01051596986382,0.023828044335811094
Coenties Slip,40.70334873532212,-74.01024822655516,40.70288861607707,-74.00974092429632,0.06670225399788998
Pearl St,40.70321355951455,-74.0125735625192,40.70342312293396,-74.0117120221508,0.0762956118753151
Pearl St,40.70342312293396,-74.0117120221508,40.70345564550335,-74.01159948746376,0.010155384718150385
Broad St,40.70345564550335,-74.01159948746376,40.703356739602015,-74.01159948682015,0.011001286910931803
Broad St,40.703356739602015,-74.01159948682015,40.70301894511317,-74.0115091220318,0.038337698524725475
Broadway,40.703127836066066,-74.01301229899639,40.70345473181187,-74.01310676591609,0.037222885093215974
Broadway,40.70345473181187,-74.01310676591609,40.703568582437036,-74.01312403815821,0.012747063808578669
Broad St,40.70357496330177,-74.01159948692585,40.70345564550335,-74.01159948746376,0.013271698819866352
