street,lat1,lng1,lat2,lng2,distance
28th Ave,39.05486199959611,-84.41904100047933,39.05600799995537,-84.41751800039003,0.1831754587688249
28th Ave,39.05600799995537,-84.41751800039003,39.05591000039914,-84.41735399993202,0.01787387635872173
28th Ave,39.05591000039914,-84.41735399993202,39.05583700016823,-84.41725100000087,0.01204484596937808
28th Ave,39.05583700016823,-84.41725100000087,39.05571599986028,-84.41709300016285,0.01916720202773731
28th Ave,39.05571599986028,-84.41709300016285,39.05555500043466,-84.41685800014501,0.027068373077486045
28th Ave,39.05555500043466,-84.41685800014501,39.05547099961826,-84.41671100038063,0.015764251504027754
28th Ave,39.05547099961826,-84.41671100038063,39.05541199980251,-84.41658600015445,0.01263476438765606
28th Ave,39.05541199980251,-84.41658600015445,39.055323000151446,-84.41636200033201,0.02173327932740924
28th Ave,39.055323000151446,-84.41636200033201,39.05431500003173,-84.41335800015462,0.28265785818117917
28th Ave,39.05431500003173,-84.41335800015462,39.05416999993994,-84.41290800007135,0.04208231551941151
28th Ave,39.05416999993994,-84.41290800007135,39.05361099988335,-84.41125999953576,0.15533472447857513
28th Ave,39.05361099988335,-84.41125999953576,39.05339099992723,-84.41059900039608,0.06211776803677589
28th Ave,39.05942500020939,-84.42293899957384,39.05881900033358,-84.4224399995554,0.08000588727151034
28th Ave,39.06001857776148,-84.42347118689338,39.05942500020939,-84.42293899957384,0.08044769303463
28th Ave,39.06049399967129,-84.42138500002844,39.05942500020939,-84.42293899957384,0.17931094780839668
28th Ave,39.05600799995537,-84.41751800039003,39.05608599998601,-84.41762800022958,0.012866301129720651
28th Ave,39.05608599998601,-84.41762800022958,39.056262000281556,-84.41781699960553,0.02548974395850838
28th Ave,39.056262000281556,-84.41781699960553,39.05638900023231,-84.41793100008161,0.017219284875121192
28th Ave,39.05638900023231,-84.41793100008161,39.05751399983163,-84.41888100003631,0.14963685173712596
28th Ave,39.05751399983163,-84.41888100003631,39.05764100019096,-84.41901399970027,0.01820741695127102
28th Ave,39.05764100019096,-84.41901399970027,39.057761999806154,-84.41911099988684,0.015853384370869757
28th Ave,39.057761999806154,-84.41911099988684,39.05795399972015,-84.41924699996524,0.02437341696863818
28th Ave,39.05795399972015,-84.41924699996524,39.058299999764635,-84.41951399994893,0.044865856658602495
28th Ave,39.058299999764635,-84.41951399994893,39.05877499955727,-84.41991700055006,0.06326920911355828
28th Ave,39.05877499955727,-84.41991700055006,39.059238000292396,-84.42032700040784,0.0624994103392472
28th Ave,39.059238000292396,-84.42032700040784,39.05935900029583,-84.42042999952854,0.016133125988088002
28th Ave,39.05935900029583,-84.42042999952854,39.05962999983614,-84.42066100024066,0.03614788651557594
28th Ave,39.05962999983614,-84.42066100024066,39.05993700008941,-84.42092300037478,0.04096476643031704
28th Ave,39.05993700008941,-84.42092300037478,39.06049399967129,-84.42138500002844,0.07369256619289316
28th Ave,39.062072000106255,-84.42933300012663,39.06233399957683,-84.4285590004912,0.07292322497739244
28th Ave,39.06049399967129,-84.42138500002844,39.06068699983476,-84.4215379998347,0.025208422813157817
28th Ave,39.06068699983476,-84.4215379998347,39.06093299962892,-84.42173299950038,0.03213016871140916
28th Ave,39.06093299962892,-84.42173299950038,39.0611009996255,-84.42180299967092,0.019640269501627096
28th Ave,39.0611009996255,-84.42180299967092,39.06213600003652,-84.42223099949793,0.12091189718309299
28th Ave,39.06213600003652,-84.42223099949793,39.062629180602926,-84.4224352472914,0.05762284627450797
28th Ave,39.06233399957683,-84.4285590004912,39.06258999992174,-84.42777100042375,0.07377286350161852
28th Ave,39.06258999992174,-84.42777100042375,39.06260900038499,-84.42776500023783,0.002176023081520169
28th Ave,39.06260900038499,-84.42776500023783,39.06262300028747,-84.42774199996882,0.002524039359910013
28th Ave,39.06262300028747,-84.42774199996882,39.06203100040345,-84.42719600041708,0.08099145049779082
28th Ave,39.06203100040345,-84.42719600041708,39.06134900001775,-84.42635499976078,0.10502515181348837
28th Ave,39.06134900001775,-84.42635499976078,39.062629180602926,-84.4224352472914,0.3672615381443164
28th Ave,39.06262300028747,-84.42774199996882,39.06279000006694,-84.42721199958613,0.04939901973816446
28th Ave,39.06279000006694,-84.42721199958613,39.06294899971589,-84.42675999961425,0.04285628420065167
28th Ave,39.06294899971589,-84.42675999961425,39.06310300029985,-84.42626300008278,0.04621497059834018
28th Ave,39.06310300029985,-84.42626300008278,39.06326400007199,-84.42577800034734,0.04555435413202541
28th Ave,39.06329399983298,-84.43082100052521,39.06294099977352,-84.43065699982536,0.04174071796556636
28th Ave,39.06294099977352,-84.43065699982536,39.06181199966643,-84.43010800010643,0.13423154889440383
28th Ave,39.06181199966643,-84.43010800010643,39.062072000106255,-84.42933300012663,0.07291418051611924
28th Ave,39.06326400007199,-84.42577800034734,39.063420999908566,-84.42532199964886,0.04308036202263594
28th Ave,39.063420999908566,-84.42532199964886,39.063578999961955,-84.4248500000418,0.04439086674758871
28th Ave,39.06329399983298,-84.43082100052521,39.063528000114175,-84.43003500044263,0.07270116391735086
28th Ave,39.063528000114175,-84.43003500044263,39.06295500033536,-84.4297550002736,0.0681680340730431
28th Ave,39.06295500033536,-84.4297550002736,39.062072000106255,-84.42933300012663,0.10476021407661697
28th Ave,39.063528000114175,-84.43003500044263,39.063768000235015,-84.42920400034582,0.07657250866927112
28th Ave,39.063768000235015,-84.42920400034582,39.06367099965884,-84.42919999983785,0.010794888330524435
28th Ave,39.06367099965884,-84.42919999983785,39.06233399957683,-84.4285590004912,0.15868410951190592
