street,lat1,lng1,lat2,lng2,distance
S Burley Ave,41.64821762504125,-87.5447461897776,41.65002823539839,-87.54474349258213,0.20139401283490313
E 135th St,41.65002823539839,-87.54474349258213,41.65002571065846,-87.54352199383479,0.10152274727418746
S Brandon Ave,41.64851048563575,-87.54595347141144,41.649433550973185,-87.54593283290161,0.10268673182864135
S Brandon Ave,41.649433550973185,-87.54593283290161,41.65003068797645,-87.54593098597086,0.06641962667259922
E 135th St,41.65003068797645,-87.54593098597086,41.65002823539839,-87.54474349258213,0.09869644655173686
S Baltimore Ave,41.649477316715455,-87.54720169278073,41.65003329097106,-87.54719017940266,0.06184832684777859
E 135th St,41.65003329097106,-87.54719017940266,41.65003068797645,-87.54593098597086,0.10465566747258943
S Brainard Ave,41.650423957953244,-87.548423849929,41.649477316715455,-87.54720169278073,0.14630417452755573
S Indiana Ave,41.65083024414921,-87.61722189548802,41.648920681896975,-87.6172205355959,0.21240032093017752
S Indiana Ave,41.651266678823056,-87.6172222057685,41.65083024414921,-87.61722189548802,0.04854456283625789
E 134th Pl,41.651290859485094,-87.61464696593015,41.651266678823056,-87.6172222057685,0.21404850804074066
S Forest Ave,41.651290859485094,-87.61464696593015,41.650888748551154,-87.61465278365557,0.044729345604080976
E 134th Pl,41.65131393535044,-87.61218940021186,41.651290859485094,-87.61464696593015,0.204267608440941
S Brainard Ave,41.65132613901077,-87.54958643298767,41.65124305526048,-87.54948134105466,0.012715810382209185
S Brainard Ave,41.65124305526048,-87.54948134105466,41.650423957953244,-87.548423849929,0.12659126371417267
E 134th Pl,41.65083024414921,-87.61722189548802,41.651812509161054,-87.62023276060778,0.27304872515347756
E 134th St,41.651817332554025,-87.61722312010086,41.651813360685054,-87.61970103534097,0.20594159089199274
E 134th St,41.651813360685054,-87.61970103534097,41.651812509161054,-87.62023276060778,0.04419212942881928
S Indiana Ave,41.651817332554025,-87.61722312010086,41.651736448217264,-87.61722254056238,0.008996880220876823
S Indiana Ave,41.651736448217264,-87.61722254056238,41.651266678823056,-87.6172222057685,0.0522523787827499
E 134th St,41.651819907282196,-87.61561784785142,41.651817332554025,-87.61722312010086,0.13341550174132885
E 134th St,41.65182147563777,-87.61463928749177,41.651819907282196,-87.61561784785142,0.08132895635921003
S Forest Ave,41.65182147563777,-87.61463928749177,41.651290859485094,-87.61464696593015,0.0590237961627221
E 134th St,41.65182248229896,-87.61401160074271,41.65182147563777,-87.61463928749177,0.052167561102198334
E 134th St,41.65184035733901,-87.6028622856392,41.65182248229896,-87.61401160074271,0.9266285950201811
S Mackinaw Ave,41.65184230693264,-87.54231383828377,41.650023213523404,-87.54231384990193,0.20233745654157576
E 134th St,41.65184230693264,-87.54231383828377,41.65184230729163,-87.5411152325635,0.09961684467656025
S Green Bay Ave,41.65002065017111,-87.54107351443106,41.65184230729163,-87.5411152325635,0.202652281406451
S Ave K,41.65184398495642,-87.53504501075831,41.650011108745886,-87.53503746570208,0.20387147964522356
S Buffalo Ave,41.65002571065846,-87.54352199383479,41.65184521879323,-87.54351982626369,0.202383666569841
E 134th St,41.65184521879323,-87.54351982626369,41.651842306711615,-87.5424430752445,0.08949001111795193
E 134th St,41.651842306711615,-87.5424430752445,41.65184230693264,-87.54231383828377,0.010740961791623519
S Ave L,41.65184691380973,-87.53626192478983,41.650008157799974,-87.53625744164987,0.20452486371649775
E 134th St,41.65184691380973,-87.53626192478983,41.65184398495642,-87.53504501075831,0.10113897921342997
S Burley Ave,41.65002823539839,-87.54474349258213,41.65184852050127,-87.5447407796828,0.2024701339694688
E 134th St,41.65184852050127,-87.5447407796828,41.65184521879323,-87.54351982626369,0.10147483278358106
S Ave M,41.651849822315576,-87.53746995924114,41.65000524390853,-87.53746214374503,0.20517317682094727
E 134th St,41.651849822315576,-87.53746995924114,41.65184691380973,-87.53626192478983,0.10040098396896575
S Brandon Ave,41.65003068797645,-87.54593098597086,41.651851723897174,-87.54592535497517,0.2025540624284565
E 134th St,41.651851723897174,-87.54592535497517,41.65184852050127,-87.5447407796828,0.09845140018593551
S Ave N,41.651852735490806,-87.53868037554709,41.650002324096306,-87.53866963929372,0.2058228850507345
E 134th St,41.651852735490806,-87.53868037554709,41.651849822315576,-87.53746995924114,0.10059893742810298
S Baltimore Ave,41.65003329097106,-87.54719017940266,41.65117255459131,-87.54716658680805,0.1267352722720534
